"gameorder","game_id","lg_id","X_iscopy","year_id","date_game","seasongame","is_playoffs","team_id","fran_id","pts","elo_i","elo_n","win_equiv","opp_id","opp_fran","opp_pts","opp_elo_i","opp_elo_n","game_location","game_result","forecast","tm_conference","opp_conference","win_dum","prev_avg_pts","opp_prev_avg_pts"
54,21500054,"NBA",1,2015,"2015-11-03",4,0,"IND",NA,94,1481.09059250644,1498.40255672613,NA,"DET",NA,82,1504.47392751182,1495.03654096002,"A","W",0.329543254851677,"E","E",1,92.6666666666667,98.6666666666667
55,21500055,"NBA",1,2015,"2015-11-03",5,0,"ATL",NA,98,1565.34643762322,1573.75585944196,NA,"MIA",NA,92,1488.72051699917,1485.35675495188,"A","W",0.466412653305025,"E","E",1,99.25,99.25
55,21500055,"NBA",0,2015,"2015-11-03",4,0,"MIA",NA,92,1488.72051699917,1485.35675495188,NA,"ATL",NA,98,1565.34643762322,1573.75585944196,"H","L",0.533587346694975,"E","E",0,101.666666666667,101
56,21500056,"NBA",0,2015,"2015-11-03",4,0,"NOP",NA,94,1502.84940547864,1495.33306476465,NA,"ORL",NA,103,1357.39876478703,1376.88066241945,"H","L",0.804227271270414,"W","E",0,103,103.333333333333
56,21500056,"NBA",1,2015,"2015-11-03",4,0,"ORL",NA,103,1357.39876478703,1376.88066241945,NA,"NOP",NA,94,1502.84940547864,1495.33306476465,"A","W",0.195772728729586,"E","W",1,103.333333333333,103
57,21500057,"NBA",1,2015,"2015-11-03",4,0,"TOR",NA,102,1529.35515549036,1546.05113467513,NA,"DAL",NA,91,1559.60388809206,1550.94732175801,"A","W",0.320870988322282,"E","W",1,108.333333333333,100.666666666667
57,21500057,"NBA",0,2015,"2015-11-03",4,0,"DAL",NA,91,1559.60388809206,1550.94732175801,NA,"TOR",NA,102,1529.35515549036,1546.05113467513,"H","L",0.679129011677718,"W","E",0,100.666666666667,108.333333333333
58,21500058,"NBA",1,2015,"2015-11-03",5,0,"MEM",NA,103,1565.48172005171,1577.26657629155,NA,"SAC",NA,89,1442.27010480239,1433.63614074067,"A","W",0.533354589757527,"W","W",1,89.5,108.5
58,21500058,"NBA",0,2015,"2015-11-03",4,0,"SAC",NA,89,1442.27010480239,1433.63614074067,NA,"MEM",NA,103,1565.48172005171,1577.26657629155,"H","L",0.466645410242473,"W","W",0,115,96.3333333333333
59,21500059,"NBA",1,2015,"2015-11-03",4,0,"DEN",NA,120,1454.63307702976,1464.45997577034,NA,"LAL",NA,109,1324.62852170366,1318.03922067995,"A","W",0.543072999020502,"W","W",1,92,106
59,21500059,"NBA",0,2015,"2015-11-03",4,0,"LAL",NA,109,1324.62852170366,1318.03922067995,NA,"DEN",NA,120,1454.63307702976,1464.45997577034,"H","L",0.456927000979498,"W","W",0,106,92
60,21500060,"NBA",1,2015,"2015-11-04",4,0,"BOS",NA,98,1511.58653251242,1510.50444898005,NA,"IND",NA,100,1498.40255672613,1501.81459236837,"A","L",0.377598667594175,"E","E",0,100.666666666667,92.6666666666667
60,21500060,"NBA",0,2015,"2015-11-04",5,0,"IND",NA,100,1498.40255672613,1501.81459236837,NA,"BOS",NA,98,1511.58653251242,1510.50444898005,"H","W",0.622401332405825,"E","E",1,93,100
61,21500061,"NBA",0,2015,"2015-11-04",4,0,"WAS",NA,102,1540.29662388998,1546.73022713476,NA,"SAS",NA,99,1680.12048336128,1680.12048336128,"H","W",0.442938536919201,"E","W",1,105.333333333333,101
